         t             x1             x2             v1             v2             p1             p2
  0.785000      -0.866807       0.375917      -0.453551       0.907476      -0.453551       1.814952
  0.790000      -0.868927       0.380386      -0.394547       0.879842      -0.394547       1.759684
  0.795000      -0.870752       0.384715      -0.335369       0.852101      -0.335369       1.704203
  0.800000      -0.872281       0.388906      -0.276025       0.824264      -0.276025       1.648527
  0.805000      -0.873512       0.392958      -0.216527       0.796336      -0.216527       1.592673
  0.810000      -0.874446       0.396870      -0.156884       0.768329      -0.156884       1.536657
  0.815000      -0.875081       0.400641      -0.097105       0.740248      -0.097105       1.480497
  0.820000      -0.875416       0.404272      -0.037202       0.712104      -0.037202       1.424208
  0.825000      -0.875452       0.407762       0.022816       0.683904       0.022816       1.367808
  0.830000      -0.875188       0.411111       0.082930       0.655657       0.082930       1.311314
  0.835000      -0.874623       0.414319       0.143109       0.627371       0.143109       1.254742
  0.840000      -0.873757       0.417385       0.203323       0.599055       0.203323       1.198110
  0.845000      -0.872590       0.420309       0.263538       0.570717       0.263538       1.141433
  0.850000      -0.871122       0.423092       0.323724       0.542365       0.323724       1.084730
  0.855000      -0.869353       0.425733       0.383849       0.514008       0.383849       1.028015
  0.860000      -0.867283       0.428232       0.443881       0.485653       0.443881       0.971307
  0.865000      -0.864914       0.430589       0.503790       0.457311       0.503790       0.914622
  0.870000      -0.862246       0.432805       0.563544       0.428988       0.563544       0.857976
  0.875000      -0.859279       0.434879       0.623113       0.400693       0.623113       0.801386
  0.880000      -0.856015       0.436812       0.682464       0.372434       0.682464       0.744869
  0.885000      -0.852455       0.438604       0.741569       0.344220       0.741569       0.688440
  0.890000      -0.848600       0.440254       0.800397       0.316059       0.800397       0.632118
  0.895000      -0.844451       0.441764       0.858917       0.287958       0.858917       0.575917
  0.900000      -0.840011       0.443134       0.917101       0.259927       0.917101       0.519854
  0.905000      -0.835281       0.444364       0.974919       0.231973       0.974919       0.463945
  0.910000      -0.830262       0.445454       1.032343       0.204104       1.032343       0.408207
  0.915000      -0.824958       0.446405       1.089343       0.176328       1.089343       0.352655
  0.920000      -0.819370       0.447217       1.145892       0.148653       1.145892       0.297306
  0.925000      -0.813500       0.447892       1.201963       0.121087       1.201963       0.242174
  0.930000      -0.807351       0.448428       1.257528       0.093638       1.257528       0.187277
  0.935000      -0.800926       0.448828       1.312562       0.066314       1.312562       0.132628
  0.940000      -0.794226       0.449092       1.367038       0.039123       1.367038       0.078245
  0.945000      -0.787256       0.449220       1.420930       0.012071       1.420930       0.024143
  0.950000      -0.780018       0.449213       1.474215      -0.014832       1.474215      -0.029664
  0.955000      -0.772515       0.449072       1.526867      -0.041579       1.526867      -0.083158
  0.960000      -0.764750       0.448797       1.578863      -0.068160       1.578863      -0.136320
  0.965000      -0.756728       0.448390       1.630181      -0.094565       1.630181      -0.189130
  0.970000      -0.748450       0.447852       1.680797      -0.120785       1.680797      -0.241569
  0.975000      -0.739921       0.447183       1.730691      -0.146810       1.730691      -0.293620
  0.980000      -0.731144       0.446384       1.779840      -0.172632       1.779840      -0.345264
  0.985000      -0.722124       0.445457       1.828226      -0.198241       1.828226      -0.396482
  0.990000      -0.712863       0.444402       1.875828      -0.223629       1.875828      -0.447257
  0.995000      -0.703367       0.443221       1.922626      -0.248786       1.922626      -0.497572
  1.000000      -0.693638       0.441915       1.968604      -0.273704       1.968604      -0.547408
  1.005000      -0.683682       0.440484       2.013743      -0.298375       2.013743      -0.596750
  1.010000      -0.673502       0.438931       2.058026      -0.322790       2.058026      -0.645580
  1.015000      -0.663103       0.437257       2.101438      -0.346941       2.101438      -0.693883
  1.020000      -0.652489       0.435462       2.143962      -0.370821       2.143962      -0.741641
  1.025000      -0.641665       0.433549       2.185585      -0.394420       2.185585      -0.788840
  1.030000      -0.630635       0.431519       2.226292      -0.417731       2.226292      -0.835463
  1.035000      -0.619404       0.429372       2.266070      -0.440748       2.266070      -0.881496
  1.040000      -0.607976       0.427112       2.304907      -0.463462       2.304907      -0.926924
  1.045000      -0.596356       0.424738       2.342790      -0.485866       2.342790      -0.971733
  1.050000      -0.584550       0.422253       2.379709      -0.507954       2.379709      -1.015908
  1.055000      -0.572561       0.419659       2.415654      -0.529718       2.415654      -1.059435
  1.060000      -0.560395       0.416957       2.450613      -0.551151       2.450613      -1.102303
  1.065000      -0.548056       0.414148       2.484580      -0.572248       2.484580      -1.144496
  1.070000      -0.535551       0.411235       2.517544      -0.593002       2.517544      -1.186003
  1.075000      -0.522883       0.408219       2.549499      -0.613406       2.549499      -1.226812
  1.080000      -0.510057       0.405101       2.580438      -0.633455       2.580438      -1.266909
  1.085000      -0.497080       0.401885       2.610355      -0.653143       2.610355      -1.306285
  1.090000      -0.483955       0.398571       2.639243      -0.672464       2.639243      -1.344928
  1.095000      -0.470689       0.395161       2.667098      -0.691413       2.667098      -1.382826
  1.100000      -0.457286       0.391657       2.693916      -0.709985       2.693916      -1.419970
  1.105000      -0.443752       0.388062       2.719693      -0.728175       2.719693      -1.456349
  1.110000      -0.430091       0.384376       2.744426      -0.745977       2.744426      -1.491954
  1.115000      -0.416309       0.380602       2.768111      -0.763388       2.768111      -1.526776
  1.120000      -0.402412       0.376743       2.790749      -0.780402       2.790749      -1.560805
  1.125000      -0.388404       0.372799       2.812336      -0.797016       2.812336      -1.594033
  1.130000      -0.374290       0.368773       2.832873      -0.813226       2.832873      -1.626451
  1.135000      -0.360077       0.364668       2.852359      -0.829027       2.852359      -1.658053
  1.140000      -0.345768       0.360484       2.870794      -0.844416       2.870794      -1.688831
  1.145000      -0.331370       0.356224       2.888179      -0.859389       2.888179      -1.718777
  1.150000      -0.316888       0.351891       2.904516      -0.873943       2.904516      -1.747886
  1.155000      -0.302327       0.347485       2.919807      -0.888075       2.919807      -1.776150
  1.160000      -0.287692       0.343011       2.934053      -0.901782       2.934053      -1.803565
  1.165000      -0.272988       0.338468       2.947258      -0.915062       2.947258      -1.830123
  1.170000      -0.258221       0.333861       2.959424      -0.927911       2.959424      -1.855822
  1.175000      -0.243396       0.329190       2.970556      -0.940327       2.970556      -1.880655
  1.180000      -0.228517       0.324458       2.980657      -0.952309       2.980657      -1.904618
  1.185000      -0.213591       0.319667       2.989732      -0.963854       2.989732      -1.927708
  1.190000      -0.198622       0.314820       2.997786      -0.974960       2.997786      -1.949920
  1.195000      -0.183615       0.309919       3.004824      -0.985626       3.004824      -1.971252
  1.200000      -0.168575       0.304965       3.010851      -0.995850       3.010851      -1.991700
  1.205000      -0.153508       0.299961       3.015874      -1.005631       3.015874      -2.011262
  1.210000      -0.138418       0.294909       3.019899      -1.014968       3.019899      -2.029937
  1.215000      -0.123310       0.289812       3.022932      -1.023860       3.022932      -2.047721
  1.220000      -0.108190       0.284671       3.024980      -1.032307       3.024980      -2.064613
  1.225000      -0.093062       0.279490       3.026050      -1.040307       3.026050      -2.080614
  1.230000      -0.077931       0.274269       3.026151      -1.047860       3.026151      -2.095720
  1.235000      -0.062802       0.269012       3.025289      -1.054966       3.025289      -2.109933
  1.240000      -0.047680       0.263720       3.023472      -1.061626       3.023472      -2.123252
  1.245000      -0.032569       0.258396       3.020710      -1.067838       3.020710      -2.135677
  1.250000      -0.017475       0.253042       3.017009      -1.073604       3.017009      -2.147208
  1.255000      -0.002401       0.247661       3.012379      -1.078924       3.012379      -2.157848
  1.260000       0.012648       0.242254       3.006829      -1.083798       3.006829      -2.167596
  1.265000       0.027666       0.236824       3.000368      -1.088227       3.000368      -2.176454
  1.270000       0.042650       0.231372       2.993005      -1.092212       2.993005      -2.184425
  1.275000       0.057595       0.225902       2.984749      -1.095755       2.984749      -2.191509
  1.280000       0.072496       0.220416       2.975610      -1.098855       2.975610      -2.197710
  1.285000       0.087349       0.214914       2.965597      -1.101515       2.965597      -2.203031
  1.290000       0.102150       0.209401       2.954721      -1.103737       2.954721      -2.207473
  1.295000       0.116895       0.203878       2.942992      -1.105521       2.942992      -2.211042
  1.300000       0.131579       0.198347       2.930419      -1.106869       2.930419      -2.213739
  1.305000       0.146198       0.192810       2.917012      -1.107784       2.917012      -2.215569
  1.310000       0.160748       0.187270       2.902783      -1.108268       2.902783      -2.216536
  1.315000       0.175224       0.181728       2.887742      -1.108322       2.887742      -2.216644
  1.320000       0.189624       0.176187       2.871898      -1.107949       2.871898      -2.215899
  1.325000       0.203942       0.170649       2.855262      -1.107152       2.855262      -2.214304
  1.330000       0.218175       0.165116       2.837846      -1.105933       2.837846      -2.211866
  1.335000       0.232319       0.159590       2.819660      -1.104294       2.819660      -2.208589
  1.340000       0.246370       0.154074       2.800714      -1.102239       2.800714      -2.204478
  1.345000       0.260325       0.148569       2.781020      -1.099771       2.781020      -2.199541
  1.350000       0.274179       0.143077       2.760587      -1.096892       2.760587      -2.193783
  1.355000       0.287930       0.137601       2.739428      -1.093605       2.739428      -2.187210
  1.360000       0.301573       0.132142       2.717553      -1.089915       2.717553      -2.179830
